,name,iter,A,BA,ROC,MCC,F1,R,P
svc-5,Support Vector,5,0.8411405295315683,0.7453010564521356,0.7453010564521355,0.4461224940352982,0.719945594945595,0.7453010564521356,0.7028377726566268
lr-6,Logistic Regression,6,0.7617107942973523,0.6874230345453367,0.6874230345453367,0.3047107020717882,0.6367263828199599,0.6874230345453367,0.6238489871086557
dt-6,Decision Tree,6,0.7291242362525459,0.6126612223734527,0.6126612223734527,0.1850515780012969,0.5808993883850928,0.6126612223734527,0.5759890710382514
rf-6,Random Forest,6,0.7963340122199593,0.6855758636334175,0.6855758636334175,0.3249849289499438,0.6569120688691374,0.6855758636334175,0.642280361757106
xgb-6,XGBoost,6,0.7942973523421588,0.6843768228660314,0.6843768228660314,0.3217598925328668,0.6549879293431753,0.6843768228660314,0.6403774981495189
gnb-6,Gaussian Naive Bayes,6,0.7780040733197556,0.6525536327694601,0.6525536327694601,0.2662245705419581,0.6276602405782784,0.6525536327694601,0.6161485319516408
bnb-6,Bernoulli Naive Bayes,6,0.790224032586558,0.6986518892993713,0.6986518892993713,0.3376925357012884,0.6598190562674469,0.6986518892993713,0.6435126656365595
svc-6,Support Vector,6,0.8044806517311609,0.7014874586817033,0.7014874586817033,0.3528496980260676,0.670635586114372,0.7014874586817033,0.6544797257006559
lr-7,Logistic Regression,7,0.7820773930753564,0.710528874197939,0.7105288741979391,0.3476554852815517,0.6602735296970481,0.710528874197939,0.6435246553552492
dt-7,Decision Tree,7,0.6802443991853361,0.6505768358286343,0.6505768358286343,0.2255461603923181,0.5753835137293785,0.6505768358286343,0.5844603191914786
rf-7,Random Forest,7,0.8289205702647657,0.6880873679434831,0.6880873679434831,0.3608319055845507,0.6799217731421121,0.6880873679434831,0.6730574273957899
xgb-7,XGBoost,7,0.7983706720977597,0.6923326203901743,0.6923326203901744,0.335643723030594,0.6618198515343996,0.6923326203901743,0.6464347396989885
gnb-7,Gaussian Naive Bayes,7,0.8391038696537678,0.5884859679823709,0.588485967982371,0.2341460136354091,0.6049879324215608,0.5884859679823709,0.6548956206035852
bnb-7,Bernoulli Naive Bayes,7,0.8065173116089613,0.7026864994490893,0.7026864994490893,0.3562084601758129,0.6726322068989719,0.7026864994490893,0.6565033530177159
svc-7,Support Vector,7,0.8207739307535642,0.69440663685268,0.6944066368526801,0.3595270151802424,0.677917586021826,0.69440663685268,0.6662233305624827
lr-8,Logistic Regression,8,0.780040733197556,0.6926566854624409,0.6926566854624409,0.3226283653421434,0.6503955696202532,0.6926566854624409,0.635070659335666
dt-8,Decision Tree,8,0.7780040733197556,0.6303227688119775,0.6303227688119774,0.2342071791176796,0.6140855632711042,0.6303227688119775,0.6052252865142079
rf-8,Random Forest,8,0.8268839103869654,0.6702151792079849,0.670215179207985,0.3349397071332547,0.6673998453949204,0.6702151792079849,0.6647688060731539
xgb-8,XGBoost,8,0.8289205702647657,0.6880873679434831,0.6880873679434831,0.3608319055845507,0.6799217731421121,0.6880873679434831,0.6730574273957899
gnb-8,Gaussian Naive Bayes,8,0.6089613034623218,0.6086104089701212,0.6086104089701212,0.157275272669514,0.5224316109422493,0.6086104089701212,0.5569363278064692
bnb-8,Bernoulli Naive Bayes,8,0.7963340122199593,0.6855758636334175,0.6855758636334175,0.3249849289499438,0.6569120688691374,0.6855758636334175,0.642280361757106
